role,skills
Data Scientist,"python sql machine learning statistics data analysis pandas numpy data visualization matplotlib seaborn scikit learn predictive modeling"
AI Engineer,"python machine learning deep learning neural networks tensorflow pytorch nlp computer vision transformers model training ai algorithms"
Data Analyst,"excel sql power bi tableau statistics data cleaning data visualization dashboard reporting business intelligence pandas"
Cybersecurity Analyst,"cybersecurity network security linux password encryption threat analysis incident response vulnerability assessment firewall security monitoring"
Cloud Engineer,"aws amazon web services cloud computing ec2 s3 linux networking docker kubernetes automation cloud infrastructure"
DevOps Engineer,"linux git github docker kubernetes ci cd jenkins cloud automation scripting bash deployment monitoring"
Backend Developer,"python java javascript api databases sql postgresql mysql flask django nodejs software development server side"
Frontend Developer,"html css javascript react ui ux responsive design web development frontend design bootstrap"
Full Stack Developer,"html css javascript react nodejs python databases api frontend backend web development git"
Machine Learning Engineer,"python machine learning scikit learn model training feature engineering data preprocessing classification regression model evaluation"
NLP Engineer,"python natural language processing nlp text classification tokenization transformers sentiment analysis chatbot language models"
Computer Vision Engineer,"python computer vision opencv image processing deep learning cnn tensorflow pytorch object detection"
Data Engineer,"python sql databases etl data pipelines spark airflow big data data warehouse cloud data processing"
Business Intelligence Analyst,"excel sql power bi tableau dashboard reporting data visualization business analysis kpi analytics"
Software Engineer,"python java c++ data structures algorithms problem solving software development git object oriented programming"
Automation Engineer,"python automation scripting selenium testing workflow automation linux api data processing"
Robotics Engineer,"python c++ robotics automation sensors control systems computer vision embedded systems"
Bioinformatics Analyst,"python biology genomics protein research bioinformatics data analysis machine learning sequence analysis"
Database Administrator,"sql mysql postgresql database management backup recovery performance tuning data security"
System Administrator,"linux windows server networking troubleshooting security monitoring bash system maintenance"
Cloud Security Engineer,"aws cloud security cybersecurity identity access management network security encryption monitoring compliance"
